name
Kofi Annan
Boutros Boutros-Ghali
Kurt Waldheim
Dag Hammarskjöld
Frédéric Chopin
Trygve Lie
Gladwyn Jebb
Leonard Cohen
Blaise Pascal
Ramón Barros Luco
Pedro Montt
Germán Riesco
Saddam Hussein
Osama bin Laden
Aníbal Zañartu
Federico Errázuriz Echaurren
Jorge Montt
José Manuel Balmaceda
Domingo Santa María
Aníbal Pinto
Friedrich Hayek
Federico Errázuriz Zañartu
José Joaquín Pérez
Manuel Montt
Manuel Bulnes
José Joaquín Prieto
Manuel Blanco Encalada
Ramón Freire
Francisco Antonio Pinto
Johann Sebastian Bach
Antonio Vivaldi
Dave Arneson
Vladimir Lenin
Niccolò Machiavelli
Petrarch
Giovanni Boccaccio
Luigi Pirandello
Ferdinand Marcos
M. C. Escher
Corazon Aquino
Robert Brasillach
Ferdinand Magellan
José Rizal
Manuel L. Quezon
Richard Wagner
Robert Louis Stevenson
Janis Joplin
Ramesses II
Ramesses III
Ramesses IV
Tony Garnier
Georg Simon Ohm
Luigi Galvani
Neil Armstrong
Charles Lindbergh
Sigfrid Edström
"David Cecil, 6th Marquess of Exeter"
Édith Piaf
Adriaan Paulen
Primo Nebiolo
Françoise Sagan
Jacques Brel
Serge Gainsbourg
Ella Fitzgerald
Brownie Mary
Louis Armstrong
Charles Aznavour
Jan I Carondelet
Claude I Carondelet
Jan II Carondelet
Ferry Carondelet
Daniel Balavoine
Barbara
Paul Otlet
Stanley Kubrick
Cesare Pavese
François Mitterrand
Giuseppe Farina
Charles de Gaulle
Juan Manuel Fangio
Alberto Ascari
Mike Hawthorn
Jacques Chirac
Hans Schmidt
Valéry Giscard d'Estaing
Jack Brabham
Georges Pompidou
Coluche
Pierre Desproges
Chet Baker
Totò
Konrad Adenauer
Ludwig Erhard
Kurt Georg Kiesinger
Willy Brandt
Helmut Schmidt
Helmut Kohl
Johannes Rau
Roman Herzog
Isaac Brock
Richard von Weizsäcker
Karl Carstens
Walter Scheel
Gustav Heinemann
Heinrich Lübke
Theodor Heuss
Manfred Gerlach
Pius XII
Erich Honecker
Willi Stoph
Walter Ulbricht
George Harrison
Friedrich Ebert
John Franklin
Paul von Hindenburg
Wilhelm II
Louis de Funès
Bourvil
Jaroslav Hašek
Lech Kaczyński
Daniel Morgan
Michael Jackson
Antoine de Saint-Exupéry
"Sir John Barrow, 1st Baronet"
Amy Johnson
Willoughby Newton
Charlemagne
Charles Maurras
Livia Ana Tătaru
Francis van Bossuit
Patrick Ricard
Francis Coventry
Phil Hill
Graham Hill
Jim Clark
John Surtees
Conrad Wahn
Denny Hulme
Friedrich Wilhelm Grund
William Terry
Jochen Rindt
James K. Gibson
Allen Sheppard
Elisha E. Meredith
Henry P. Alexander
Hubert Clifford
David Cairns
John Gregg
Ernst Tiburzy
Charles Martel
Simon Lohet
Rufus R. Jones
George Orwell
Ptolemy IX Lathyros
Ptolemy X Alexander I
Ptolemy VIII Physcon
Amelia Earhart
Antiochus IV Epiphanes
Seleucus IV Philopator
Antiochus III the Great
Seleucus III Ceraunus
Seleucus II Callinicus
Franciszek Karpiński
Aleksandr Kanaki
Laurent Dauthuille
George Sand
Etienne-Barthélémy Garnier
Piet Roozenburg
Grace Kelly
Jacqueline Cochran
Ramesses IX
Paul von Rennenkampf
George Zorab
Ramesses X
Duke Ellington
Woody Guthrie
Ramesses V
Louis Aragon
Elsa Triolet
Patrice O'Neal
Adam de la Halle
James Coburn
Rodolphe Töpffer
Adémar de Chabannes
Guibert of Nogent
Ante Bilobrk
Peter Abelard
Chrétien de Troyes
Alain de Lille
Albert of Aix
Alberich of Reims
Andreas Capellanus
Arnaut Daniel
Carlos Pellicer
Emily Dickinson
Pius VIII
Benedict XV
Thomas of Metsoph
Federico Gamboa
Beatritz de Dia
Bertran de Born
Bernard Katz
Jonathan Winters
Sean Connery
Anne Frank
Rajiv Gandhi
Confucius
Sarah Bernhardt
Marlene Dietrich
Marilyn Monroe
Francesco Filelfo
Mohamed Morsi
Mary Stewart
Paul Otto
Joan Lorring
Margaret Wycherly
Jean-Jacques Kieffer
Claude Debussy
Manfred von Richthofen
Charles II de Croÿ
Le Corbusier
"Elizabeth Smith-Stanley, Countess of Derby"
John Hamilton
Manoel da Costa Ataíde
Jenő Ábel
Yves Mariot
Ernst Mielck
Roy Budd
Karl Bryullov
Anthony Sweijs
András Fáy
Marie-Jean-Léon d'Hervey de Saint Denys
Nicholas Prokopievich Miholaps
Lady Ann Cunningham
Rosa Valetti
Marcel Doret
Chris Hooijkaas
Marcus Ravenswaaij
"William Hamilton, Duke of Hamilton"
Francis Marrash
"Isabella I, Queen of Armenia"
Birger Kildal
Otto Richard Kierulf
Herman Melville
Emperor Taizu of Liao
Emperor Taizong of Liao
Emperor Shizong of Liao
Issa Annamoradnejad
Emperor Muzong of Liao
Emperor Jingzong of Liao
Emperor Shengzong of Liao
Emperor Xingzong of Liao
Emperor Daozong of Liao
Emperor Tianzuo of Liao
Elder Paisios of Mount Athos
Emperor Taizu of Jin
Emperor Modi of Jin
Emperor Taizong of Jin
Emperor Xizong of Jin
Emperor Hailingwang of Jin
Emperor Shizong of Jin
Emperor Zhangzong of Jin
Wanyan Yongji
Emperor Xuanzong of Jin
Emperor Aizong of Jin
Mustafa Kemal Atatürk
Ramesses VI
Jean Bodel
Walter of Châtillon
Huang Xianfan
François-Édouard Picot
Edward II of England
Jaufre Rudel
Peire Vidal
Hugh Primas
Laurent Mourguet
Adolf Butenandt
Charles Lyell
Franc Gubenšek
Jovan Hadži
Fran Jesenko
William IX
Ernest Mayer
Gilles de Corbeil
Gilles de Paris
Gautier de Coincy
Geoffrey of Villehardouin
Maria de Ventadorn
Anton Polenec
Theobald of Étampes
Robert the Monk
Wace
David Bowie
Louis Blériot
Francisco Goya
Greta Garbo
Pietro Mennea
Isabella Teotochi Albrizzi
Rudolf Feustel
Antonio Canova
Luigi Bailo
Bartolomeo Coghetto
Andrea del Sarto
Salvador Dalí
Albrecht Dürer
Vittore Carpaccio
Vincent van Gogh
Giovanni Giocondo
Katsushika Hokusai
Frida Kahlo
Henri Matisse
Pinturicchio
Michelangelo
Pablo Picasso
Antonello da Messina
Raphael
Rembrandt
Peter Paul Rubens
Andy Warhol
Frank Lloyd Wright
Aimeric de Peguilhan
Odo of Deuil
Fulcher of Chartres
Hugh of Fouilloy
Gautier d'Arras
Gui de Cambrai
John of Hauville
Héloïse d’Argenteuil
Hugues III d'Oisy
Conon de Béthune
Lambert of Ardres
Fra Angelico
Sandro Botticelli
Abu Nuwas
Hans Christian Andersen
Matsuo Bashō
Lord Byron
Andrea Mantegna
Miguel de Cervantes
Geoffrey Chaucer
Anton Chekhov
Charles Dickens
Philippe Pétain
Adolphe Thiers
Pierre-Joseph Proudhon
Peter Kropotkin
Che Guevara
Masaccio
Mao Zedong
Piero della Francesca
Pietro Perugino
Gabriel García Márquez
Johann Wolfgang von Goethe
Marcel Duchamp
Chuck Berry
Jimi Hendrix
James Brown
Eddie Cochran
Buddy Holly
Anna de Noailles
Marco Polo
Hebe Camargo
Tupac Shakur
Pepi II
Ramesses VII
Hafez
Gerardus Mercator
Klaus Störtebeker
Søren Kierkegaard
Mervyn Peake
Jean-Jacques Rousseau
Stanisław Lem
Günter Grass
Gustave Doré
Alexander von Humboldt
Jacob Grimm
Allen Ginsberg
Wilhelm Grimm
Carl Friedrich Gauss
Edward Teller
James Joyce
Luca Signorelli
Julien Offray de La Mettrie
Li Bai
Niels Bohr
